Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
8.580114335927487,7.411802620405043,2.435235933438915,1.236291208571319,0.3951023880002271,Iris-setosa,dfs failed
79.33285710581485,6.150940658463558,2.058515910537348,4.249964722535199,-0.0459967966357197,Iris-setosa,dfs failed
53.078406135626494,6.444758695700493,3.484995481754875,0.446859116359469,0.7084024703827059,Iris-setosa,dfs failed
61.69134169432467,6.605248760101988,2.3248370734857966,0.3081084620805947,0.0129246009678027,Iris-setosa,dfs failed
68.42370892835905,5.663883136715316,3.0300801893399547,1.27913408608643,2.374452517022791,Iris-versicolor,dfs failed
112.42493528766737,8.310326184356267,3.2222387429087327,0.9171205984271064,1.186830367144938,Iris-setosa,dfs failed
59.03677128167564,6.996614387215377,2.356437835183808,3.300723086645399,-0.173750065183427,Iris-versicolor,dfs failed
87.3691065628228,6.474743348603949,3.2526710146599207,1.3084083525401746,0.8947743756643805,Iris-setosa,Iris-setosa
92.13301451570736,6.733283353407833,1.8779305784496232,3.7746146620234686,-0.2348332416899651,Iris-virginica,dfs failed
131.6115790309466,5.656424607460876,2.553965486335212,4.576664235067064,0.348610454382612,Iris-setosa,dfs failed
24.128596168892734,6.670636798364697,3.0716703181718814,1.1384722543762185,1.5520187183402936,Iris-virginica,dfs failed
27.41233975871424,7.984488688542593,3.164667342397766,1.416027261297198,-0.1807307702266801,Iris-versicolor,dfs failed
-13.20420448997794,8.647130816301312,2.414590327569594,0.7611789809030859,1.3754437979969567,Iris-virginica,dfs failed
-34.067218470588095,7.19016426279699,2.1362720460965137,3.205629735157723,0.9639679241927922,Iris-virginica,dfs failed
139.0260462429537,6.320837084167728,2.668573548212146,0.929093324238368,0.9515522927697684,Iris-virginica,dfs failed
145.3829171928378,5.992145730472765,2.901839147329574,1.506173282091459,2.048304931594631,Iris-virginica,dfs failed
153.1209875436719,7.243875920647451,2.738928436572334,0.9776342018456304,1.1754930238218575,Iris-setosa,dfs failed
161.2938471029486,6.842903648509718,3.145892471320938,1.932807134582198,0.3748197483912654,Iris-versicolor,dfs failed
170.4389012645183,5.987653940372614,3.018290476293416,0.872639203475293,0.9875391283910462,Iris-versicolor,dfs failed
180.5894376358294,6.548371248509374,2.912748374239837,1.459273839273891,1.893746385739203,Iris-setosa,dfs failed
